CustomerID,Churn,SatisfactionScore,Complain,DaySinceLastOrder,WarehouseToHome
50163,0,2,0,2.0,29.0
50164,1,4,1,2.0,
50165,0,2,0,2.0,14.0
50166,0,5,1,2.0,16.0
50167,0,4,0,7.0,9.0
50168,0,4,0,2.0,11.0
50169,1,2,1,4.0,10.0
50170,0,2,1,2.0,
50171,0,4,0,8.0,32.0
50172,1,3,0,0.0,9.0
50173,0,4,0,9.0,22.0
50174,0,2,0,0.0,24.0
50175,0,4,0,2.0,8.0
50176,0,4,0,4.0,8.0
50177,0,3,0,0.0,16.0
50178,0,5,0,7.0,22.0
50179,0,2,0,7.0,13.0
50180,0,2,0,7.0,6.0
50181,0,4,0,8.0,30.0
50182,0,3,0,8.0,13.0
50183,0,4,0,,31.0
50184,0,3,1,2.0,6.0
50185,0,2,1,3.0,11.0
50186,0,5,0,0.0,8.0
50187,0,5,0,11.0,13.0
50188,0,2,1,2.0,8.0
50189,0,4,0,,11.0
50190,0,5,1,10.0,16.0
50191,0,2,0,7.0,
50192,0,3,1,7.0,6.0
50193,1,4,0,7.0,14.0
50194,0,4,1,2.0,
50195,0,4,1,9.0,14.0
50196,0,3,1,4.0,8.0
50197,0,2,0,7.0,13.0
50198,0,2,0,7.0,8.0
50199,1,2,1,2.0,8.0
50200,0,2,0,9.0,34.0
50201,0,3,0,9.0,13.0
50202,0,2,0,3.0,5.0
50203,1,3,1,0.0,9.0
50204,0,2,0,1.0,16.0
50205,0,3,0,1.0,11.0
50206,0,3,0,0.0,16.0
50207,0,4,1,4.0,6.0
50208,0,3,0,3.0,26.0
50209,0,5,0,0.0,13.0
50210,0,2,0,8.0,14.0
50211,0,2,1,2.0,6.0
50212,1,5,1,7.0,14.0
50213,0,2,0,2.0,15.0
50214,0,3,0,2.0,11.0
50215,0,4,0,7.0,14.0
50216,0,2,0,4.0,11.0
50217,0,2,1,,21.0
50218,0,2,1,10.0,13.0
50219,0,4,1,7.0,16.0
50220,0,4,0,13.0,11.0
50221,0,2,0,2.0,32.0
50222,0,4,1,2.0,12.0
50223,0,3,0,0.0,10.0
50224,0,2,0,0.0,29.0
50225,0,3,0,2.0,8.0
50226,0,3,1,0.0,8.0
50227,0,4,0,7.0,
50228,0,3,0,,35.0
50229,0,5,1,7.0,12.0
50230,0,3,1,2.0,31.0
50231,0,3,0,7.0,6.0
50232,0,2,0,0.0,8.0
50233,1,4,1,2.0,6.0
50234,0,2,0,0.0,6.0
50235,0,2,0,12.0,9.0
50236,0,3,0,2.0,6.0
50237,0,3,1,7.0,16.0
50238,0,2,0,2.0,
50239,1,3,1,0.0,11.0
50240,0,5,0,3.0,16.0
50241,0,3,0,0.0,13.0
50242,1,4,0,7.0,10.0
50243,0,2,0,3.0,16.0
50244,1,3,1,0.0,28.0
50245,0,4,1,2.0,
50246,1,4,0,0.0,18.0
50247,0,2,0,2.0,29.0
50248,0,4,0,0.0,15.0
50249,0,4,0,4.0,6.0
50250,0,2,0,7.0,15.0
50251,0,3,0,0.0,13.0
50252,0,2,0,7.0,20.0
50253,0,3,0,2.0,
50254,1,2,1,4.0,25.0
50255,0,2,1,2.0,8.0
50256,0,3,1,3.0,16.0
50257,0,4,0,0.0,
50258,1,5,0,4.0,9.0
50259,0,4,0,2.0,17.0
50260,0,3,0,0.0,8.0
50261,1,2,1,0.0,10.0
50262,0,5,0,17.0,20.0
50263,0,4,0,3.0,8.0
50264,0,5,0,2.0,
50265,0,4,1,1.0,16.0
50266,0,4,0,9.0,18.0
50267,0,3,0,0.0,8.0
50268,0,5,0,2.0,11.0
50269,0,3,0,2.0,10.0
50270,0,5,0,12.0,13.0
50271,0,2,0,2.0,27.0
50272,0,3,1,2.0,14.0
50273,0,2,1,3.0,10.0
50274,0,3,1,7.0,31.0
50275,0,5,0,2.0,6.0
50276,0,3,1,6.0,6.0
50277,0,5,0,7.0,12.0
50278,0,3,0,4.0,18.0
50279,0,5,0,7.0,6.0
50280,0,5,0,8.0,23.0
50281,1,5,0,2.0,9.0
50282,0,3,1,4.0,9.0
50283,0,2,0,2.0,
50284,0,2,0,4.0,10.0
50285,0,3,0,2.0,35.0
50286,0,2,0,2.0,8.0
50287,0,5,0,10.0,13.0
50288,0,3,0,8.0,24.0
50289,0,2,0,4.0,34.0
50290,1,4,1,4.0,6.0
50291,1,3,0,0.0,
50292,0,2,1,0.0,8.0
50293,0,3,0,12.0,8.0
50294,0,2,0,2.0,29.0
50295,0,2,0,4.0,9.0
50296,0,3,0,,9.0
50297,1,4,0,1.0,
50298,1,2,0,0.0,
50299,0,5,0,8.0,28.0
50300,0,2,0,0.0,35.0
50301,0,3,0,7.0,35.0
50302,0,2,0,7.0,
50303,0,5,0,11.0,34.0
50304,0,2,0,4.0,8.0
50305,0,3,0,1.0,8.0
50306,0,3,0,3.0,28.0
50307,0,3,0,0.0,14.0
50308,0,3,0,7.0,8.0
50309,0,2,1,2.0,16.0
50310,0,4,0,8.0,15.0
50311,1,3,1,7.0,21.0
50312,1,2,0,3.0,16.0
50313,0,4,0,2.0,13.0
50314,0,3,1,0.0,22.0
50315,1,3,0,0.0,26.0
50316,1,5,1,2.0,29.0
50317,0,3,0,0.0,11.0
50318,0,2,0,7.0,16.0
50319,1,3,0,2.0,10.0
50320,0,2,0,7.0,8.0
50321,0,4,0,7.0,24.0
50322,0,2,0,10.0,16.0
50323,0,3,0,9.0,6.0
50324,0,3,0,13.0,12.0
50325,0,3,0,7.0,14.0
50326,0,2,1,5.0,8.0
50327,0,5,1,8.0,30.0
50328,0,4,0,7.0,8.0
50329,1,3,1,0.0,23.0
50330,0,2,0,2.0,25.0
50331,0,3,0,5.0,6.0
50332,0,2,0,,13.0
50333,1,4,1,0.0,11.0
50334,0,5,0,,34.0
50335,0,3,1,7.0,8.0
50336,0,3,0,0.0,35.0
50337,0,3,0,3.0,6.0
50338,0,2,0,7.0,27.0
50339,1,2,1,0.0,
50340,0,2,0,2.0,6.0
50341,0,3,0,2.0,24.0
50342,0,5,0,8.0,8.0
50343,0,4,0,7.0,15.0
50344,0,5,1,9.0,12.0
50345,1,3,0,2.0,17.0
50346,0,2,0,1.0,
50347,0,3,0,0.0,16.0
50348,0,4,0,3.0,6.0
50349,0,3,1,9.0,24.0
50350,0,2,1,4.0,29.0
50351,0,4,0,4.0,34.0
50352,0,4,0,0.0,23.0
50353,0,4,0,7.0,9.0
50354,0,3,0,6.0,19.0
50355,1,3,1,2.0,13.0
50356,1,5,0,0.0,18.0
50357,0,2,1,3.0,6.0
50358,1,5,0,2.0,19.0
50359,0,2,0,2.0,31.0
50360,0,2,0,7.0,12.0
50361,0,3,0,3.0,12.0
50362,0,3,1,0.0,8.0
50363,0,4,0,0.0,6.0
50364,0,2,0,2.0,8.0
50365,0,2,1,0.0,12.0
50366,0,5,0,0.0,
50367,0,3,1,7.0,15.0
50368,0,5,0,2.0,6.0
50369,0,3,0,2.0,6.0
50370,0,3,1,6.0,
50371,1,5,0,2.0,8.0
50372,0,3,0,2.0,28.0
50373,0,2,1,1.0,9.0
50374,0,3,0,2.0,12.0
50375,0,3,0,2.0,14.0
50376,0,2,1,5.0,15.0
50377,0,3,0,0.0,9.0
50378,0,5,0,10.0,6.0
50379,0,2,0,8.0,6.0
50380,1,5,0,0.0,32.0
50381,0,2,1,2.0,12.0
50382,0,3,0,8.0,9.0
50383,0,3,0,2.0,9.0
50384,0,2,0,8.0,12.0
50385,0,2,0,7.0,12.0
50386,0,4,0,1.0,25.0
50387,0,4,1,2.0,15.0
50388,0,2,0,1.0,9.0
50389,1,3,1,1.0,16.0
50390,1,5,1,7.0,9.0
50391,0,3,0,0.0,9.0
50392,0,5,0,2.0,10.0
50393,0,4,0,2.0,14.0
50394,0,2,0,5.0,13.0
50395,0,2,0,8.0,6.0
50396,0,4,0,2.0,8.0
50397,0,2,1,4.0,9.0
50398,0,2,0,0.0,16.0
50399,0,3,1,8.0,34.0
50400,0,4,0,7.0,15.0
50401,1,3,0,0.0,9.0
50402,0,3,0,10.0,8.0
50403,0,2,0,8.0,16.0
50404,1,3,1,3.0,14.0
50405,0,2,0,8.0,6.0
50406,0,5,0,7.0,6.0
50407,0,2,0,,9.0
50408,0,5,0,7.0,20.0
50409,0,5,1,12.0,11.0
50410,0,3,0,3.0,13.0
50411,0,2,0,6.0,16.0
50412,0,5,0,2.0,22.0
50413,0,5,0,7.0,16.0
50414,0,3,0,10.0,6.0
50415,0,4,0,2.0,14.0
50416,1,4,1,7.0,6.0
50417,0,5,0,,14.0
50418,0,3,1,0.0,6.0
50419,0,3,0,4.0,30.0
50420,0,3,1,13.0,9.0
50421,0,2,0,7.0,33.0
50422,0,3,0,0.0,
50423,1,3,1,2.0,25.0
50424,0,2,0,2.0,21.0
50425,0,3,0,3.0,14.0
50426,0,5,0,2.0,
50427,0,4,0,6.0,9.0
50428,0,2,0,,15.0
50429,0,2,1,3.0,
50430,0,5,0,7.0,13.0
50431,0,4,0,2.0,16.0
50432,0,2,0,2.0,
50433,0,5,0,0.0,8.0
50434,0,2,0,7.0,30.0
50435,0,3,1,1.0,8.0
50436,0,5,0,0.0,14.0
50437,0,5,0,16.0,9.0
50438,1,2,1,8.0,6.0
50439,0,2,0,4.0,32.0
50440,0,3,0,1.0,8.0
50441,0,3,0,2.0,16.0
50442,1,3,1,3.0,33.0
50443,0,2,0,4.0,8.0
50444,1,5,1,4.0,8.0
50445,0,5,0,9.0,14.0
50446,0,2,0,2.0,25.0
50447,0,2,0,0.0,6.0
50448,0,3,0,1.0,33.0
50449,1,5,0,2.0,14.0
50450,0,2,0,3.0,6.0
50451,0,5,1,4.0,25.0
50452,0,2,0,1.0,5.0
50453,0,5,1,3.0,16.0
50454,0,5,1,12.0,8.0
50455,0,5,0,3.0,8.0
50456,0,2,0,2.0,
50457,0,3,0,2.0,6.0
50458,0,4,0,7.0,8.0
50459,0,5,0,2.0,14.0
50460,0,2,0,9.0,14.0
50461,1,5,1,0.0,12.0
50462,0,4,0,0.0,15.0
50463,0,3,0,4.0,17.0
50464,0,3,0,3.0,8.0
50465,1,5,1,0.0,
50466,0,3,0,,13.0
50467,1,5,0,2.0,22.0
50468,0,2,1,0.0,8.0
50469,0,4,0,5.0,6.0
50470,0,3,0,7.0,29.0
50471,1,4,1,8.0,8.0
50472,0,3,0,2.0,
50473,0,2,1,2.0,6.0
50474,1,3,0,1.0,8.0
50475,0,4,0,4.0,19.0
50476,0,3,0,8.0,10.0
50477,0,3,0,0.0,22.0
50478,0,2,1,0.0,8.0
50479,0,3,0,0.0,8.0
50480,0,4,0,8.0,35.0
50481,0,5,0,2.0,18.0
50482,0,2,0,3.0,
50483,1,2,0,7.0,17.0
50484,1,2,0,3.0,8.0
50485,0,5,0,0.0,20.0
50486,0,2,1,,11.0
50487,0,3,0,6.0,13.0
50488,0,4,1,5.0,8.0
50489,0,2,0,2.0,9.0
50490,1,3,1,7.0,
50491,0,2,0,0.0,9.0
50492,0,3,0,17.0,32.0
50493,0,4,0,3.0,10.0
50494,0,5,0,1.0,8.0
50495,0,5,0,8.0,6.0
50496,0,5,0,1.0,
50497,0,2,1,11.0,6.0
50498,0,2,0,3.0,19.0
50499,0,2,0,3.0,11.0
50500,0,2,1,,13.0
50501,0,5,1,2.0,15.0
50502,0,3,0,3.0,14.0
50503,0,2,0,0.0,31.0
50504,0,3,0,0.0,22.0
50505,0,2,0,4.0,14.0
50506,0,2,0,2.0,6.0
50507,0,2,1,2.0,14.0
50508,0,2,1,2.0,
50509,0,5,0,3.0,
50510,0,5,1,3.0,9.0
50511,0,3,1,15.0,15.0
50512,1,4,1,8.0,31.0
50513,0,2,0,2.0,6.0
50514,0,5,0,3.0,10.0
50515,0,5,0,2.0,6.0
50516,0,2,0,4.0,10.0
50517,0,4,0,3.0,11.0
50518,0,4,0,2.0,15.0
50519,0,2,1,3.0,9.0
50520,0,2,1,2.0,
50521,1,3,1,2.0,6.0
50522,0,2,0,,14.0
50523,0,4,0,8.0,31.0
50524,0,2,0,0.0,27.0
50525,0,2,0,8.0,29.0
50526,0,2,0,2.0,6.0
50527,0,2,1,7.0,8.0
50528,0,4,1,9.0,25.0
50529,0,5,0,7.0,8.0
50530,0,2,0,4.0,8.0
50531,0,4,1,3.0,9.0
50532,1,2,1,1.0,31.0
50533,0,2,0,3.0,
50534,0,5,1,1.0,
50535,0,2,0,2.0,11.0
50536,1,2,1,0.0,
50537,0,4,0,0.0,14.0
50538,1,3,0,2.0,8.0
50539,1,2,0,0.0,24.0
50540,0,2,1,11.0,20.0
50541,0,2,1,2.0,8.0
50542,1,3,1,2.0,9.0
50543,1,2,1,0.0,8.0
50544,0,3,0,2.0,
50545,1,5,1,2.0,
50546,0,3,0,0.0,
50547,0,4,0,0.0,16.0
50548,0,3,0,3.0,20.0
50549,0,5,1,2.0,6.0
50550,0,4,1,4.0,11.0
50551,0,3,0,2.0,
50552,0,2,1,7.0,27.0
50553,0,4,0,7.0,14.0
50554,0,3,0,0.0,26.0
50555,0,3,0,0.0,26.0
50556,0,2,0,1.0,13.0
50557,0,5,0,11.0,6.0
50558,0,4,0,2.0,
50559,1,4,1,0.0,
50560,0,4,0,0.0,16.0
50561,0,5,0,7.0,6.0
50562,0,5,1,17.0,12.0
50563,0,3,0,9.0,
50564,1,4,1,0.0,27.0
50565,1,5,0,0.0,10.0
50566,0,2,1,5.0,18.0
50567,0,4,1,0.0,15.0
50568,0,5,0,3.0,9.0
50569,1,2,1,7.0,9.0
50570,0,2,0,4.0,6.0
50571,1,3,0,7.0,6.0
50572,0,4,0,8.0,10.0
50573,0,2,0,2.0,26.0
50574,0,3,0,0.0,24.0
50575,0,2,0,8.0,6.0
50576,1,3,0,0.0,
50577,0,3,0,2.0,8.0
50578,0,3,0,7.0,14.0
50579,0,2,1,3.0,16.0
50580,0,2,0,8.0,9.0
50581,0,3,0,7.0,8.0
50582,1,4,1,0.0,30.0
50583,0,3,1,7.0,22.0
50584,0,2,0,7.0,14.0
50585,1,5,1,2.0,
50586,0,3,0,0.0,23.0
50587,1,5,1,0.0,
50588,0,2,0,2.0,19.0
50589,0,2,0,2.0,6.0
50590,0,2,0,3.0,6.0
50591,0,4,1,2.0,6.0
50592,0,3,0,11.0,15.0
50593,0,4,0,2.0,22.0
50594,0,5,1,8.0,29.0
50595,0,2,1,7.0,10.0
50596,1,3,1,1.0,28.0
50597,0,3,1,5.0,30.0
50598,0,3,0,2.0,16.0
50599,0,3,0,7.0,13.0
50600,0,3,0,2.0,23.0
50601,1,4,1,2.0,20.0
50602,0,5,0,3.0,6.0
50603,0,2,0,0.0,11.0
50604,0,3,0,8.0,23.0
50605,0,3,1,1.0,31.0
50606,0,5,1,,14.0
50607,1,5,1,0.0,
50608,1,4,0,2.0,
50609,0,2,0,3.0,8.0
50610,0,5,0,1.0,
50611,0,3,0,2.0,12.0
50612,0,3,0,,10.0
50613,0,3,0,1.0,13.0
50614,0,2,0,,6.0
50615,0,2,0,2.0,8.0
50616,0,2,0,2.0,16.0
50617,0,3,0,0.0,11.0
50618,0,2,0,0.0,
50619,0,2,1,3.0,8.0
50620,1,4,0,0.0,17.0
50621,0,4,1,7.0,24.0
50622,0,3,0,10.0,13.0
50623,0,2,1,0.0,9.0
50624,1,5,0,2.0,35.0
50625,1,2,0,9.0,8.0
50626,0,2,1,11.0,34.0
50627,0,3,0,13.0,6.0
50628,1,5,0,14.0,22.0
50629,0,5,1,8.0,28.0
50630,0,2,0,2.0,
50631,0,2,0,1.0,17.0
50632,0,3,0,7.0,35.0
50633,0,2,0,9.0,6.0
50634,0,2,1,,6.0
50635,0,4,0,4.0,30.0
50636,0,4,0,12.0,8.0
50637,1,3,0,0.0,21.0
50638,1,5,1,2.0,8.0
50639,0,3,1,0.0,16.0
50640,0,4,0,0.0,16.0
50641,0,3,0,2.0,9.0
50642,0,3,1,7.0,8.0
50643,0,4,0,1.0,9.0
50644,0,5,0,5.0,32.0
50645,0,3,0,3.0,6.0
50646,0,2,0,2.0,6.0
50647,0,3,0,0.0,8.0
50648,0,3,0,3.0,15.0
50649,0,2,0,8.0,18.0
50650,0,5,0,2.0,8.0
50651,0,2,0,0.0,31.0
50652,1,2,1,2.0,
50653,1,5,0,0.0,16.0
50654,0,5,1,7.0,14.0
50655,1,3,1,7.0,
50656,1,5,0,9.0,30.0
50657,0,5,0,3.0,6.0
50658,0,5,0,2.0,26.0
50659,0,3,0,8.0,13.0
50660,0,3,0,9.0,23.0
50661,0,2,0,1.0,26.0
50662,0,3,0,2.0,14.0
50663,0,4,0,,8.0
50664,0,3,0,7.0,16.0
50665,1,5,0,6.0,6.0
50666,0,2,0,2.0,11.0
50667,1,5,1,7.0,10.0
50668,1,3,0,8.0,35.0
50669,0,3,0,2.0,21.0
50670,0,2,0,4.0,9.0
50671,0,2,1,0.0,16.0
50672,1,2,1,6.0,10.0
50673,1,3,0,0.0,
50674,1,4,1,2.0,31.0
50675,0,5,0,7.0,8.0
50676,1,4,0,0.0,
50677,1,3,1,0.0,6.0
50678,0,4,0,2.0,13.0
50679,0,2,0,0.0,9.0
50680,0,2,0,1.0,6.0
50681,0,3,0,12.0,15.0
50682,0,4,0,0.0,13.0
50683,0,3,1,7.0,16.0
50684,0,2,0,7.0,
50685,0,4,0,7.0,9.0
50686,0,3,0,9.0,9.0
50687,0,4,0,0.0,8.0
50688,0,5,0,1.0,33.0
50689,1,2,0,,8.0
50690,0,3,0,9.0,20.0
50691,0,4,1,2.0,6.0
50692,0,4,0,3.0,15.0
50693,0,2,0,9.0,24.0
50694,0,2,0,2.0,26.0
50695,0,4,0,4.0,8.0
50696,0,2,0,2.0,17.0
50697,0,4,0,,14.0
50698,0,3,0,2.0,8.0
50699,0,4,0,1.0,16.0
50700,0,2,0,0.0,35.0
50701,0,2,1,2.0,14.0
50702,0,3,0,0.0,6.0
50703,0,3,1,2.0,12.0
50704,1,3,0,0.0,14.0
50705,1,5,1,3.0,15.0
50706,0,2,1,0.0,18.0
50707,1,3,0,2.0,
50708,0,2,0,3.0,31.0
50709,0,3,0,2.0,
50710,0,3,0,3.0,15.0
50711,0,3,0,4.0,14.0
50712,1,5,0,10.0,29.0
50713,0,3,0,13.0,15.0
50714,1,5,1,14.0,18.0
50715,0,5,0,5.0,10.0
50716,0,3,0,7.0,6.0
50717,0,4,0,2.0,30.0
50718,1,2,1,0.0,
50719,0,2,0,7.0,9.0
50720,0,3,0,4.0,16.0
50721,0,2,1,0.0,32.0
50722,0,4,0,4.0,8.0
50723,0,5,0,9.0,6.0
50724,0,2,0,2.0,
50725,1,3,0,3.0,15.0
50726,0,5,0,0.0,8.0
50727,0,5,0,2.0,10.0
50728,0,2,0,8.0,12.0
50729,0,5,0,0.0,
50730,0,3,1,2.0,13.0
50731,0,2,0,11.0,6.0
50732,0,3,0,2.0,9.0
50733,1,3,1,2.0,16.0
50734,0,3,0,7.0,13.0
50735,0,2,1,3.0,21.0
50736,1,2,1,0.0,9.0
50737,0,5,0,9.0,8.0
50738,0,3,0,0.0,23.0
50739,0,3,0,4.0,8.0
50740,1,5,0,0.0,11.0
50741,0,5,0,3.0,35.0
50742,0,4,0,0.0,8.0
50743,0,5,0,2.0,8.0
50744,0,5,0,3.0,25.0
50745,0,4,0,3.0,21.0
50746,0,5,1,7.0,23.0
50747,1,4,0,0.0,23.0
50748,0,3,0,1.0,31.0
50749,0,3,0,7.0,12.0
50750,0,3,0,9.0,13.0
50751,0,2,0,17.0,35.0
50752,0,2,0,2.0,27.0
50753,0,2,0,4.0,8.0
50754,0,5,0,3.0,8.0
50755,0,2,1,9.0,13.0
50756,0,4,0,2.0,19.0
50757,0,3,1,7.0,8.0
50758,0,5,1,7.0,6.0
50759,0,2,0,10.0,15.0
50760,0,4,0,3.0,16.0
50761,0,2,0,1.0,16.0
50762,0,4,1,7.0,6.0
50763,0,5,1,0.0,32.0
50764,0,2,1,12.0,14.0
50765,0,5,1,8.0,20.0
50766,0,3,0,4.0,6.0
50767,0,2,0,7.0,8.0
50768,1,4,1,0.0,16.0
50769,0,2,0,2.0,6.0
50770,0,2,0,9.0,9.0
50771,0,5,1,1.0,17.0
50772,0,5,0,8.0,30.0
50773,0,2,0,5.0,9.0
50774,0,2,0,7.0,9.0
50775,0,3,0,0.0,10.0
50776,0,4,0,7.0,9.0
50777,0,4,0,0.0,
50778,0,3,0,3.0,
50779,0,2,1,0.0,13.0
50780,0,2,0,0.0,6.0
50781,0,2,0,7.0,6.0
50782,0,3,0,0.0,
50783,0,4,0,10.0,11.0
50784,0,3,1,8.0,16.0
50785,0,2,1,1.0,31.0
50786,0,3,0,1.0,6.0
50787,1,2,1,0.0,30.0
50788,0,2,1,2.0,10.0
50789,1,4,1,11.0,8.0
50790,0,4,1,0.0,14.0
50791,1,3,0,2.0,
50792,0,4,0,8.0,10.0
50793,0,5,1,2.0,8.0
50794,0,4,1,10.0,15.0
50795,0,2,0,4.0,24.0
50796,0,4,0,10.0,25.0
50797,0,3,1,2.0,6.0
50798,0,5,0,13.0,10.0
50799,0,4,0,8.0,17.0
50800,0,3,1,2.0,12.0
50801,0,4,1,0.0,
50802,0,2,0,17.0,10.0
50803,0,4,1,12.0,8.0
50804,1,2,0,5.0,21.0
50805,0,2,1,2.0,8.0
50806,0,3,0,7.0,12.0
50807,0,3,1,7.0,15.0
50808,1,3,1,7.0,13.0
50809,0,5,0,2.0,6.0
50810,0,4,0,1.0,6.0
50811,0,2,0,8.0,14.0
50812,0,4,0,0.0,31.0
50813,0,4,1,2.0,19.0
50814,0,3,0,2.0,
50815,1,3,0,1.0,13.0
50816,1,5,0,3.0,29.0
50817,0,2,0,7.0,12.0
50818,0,3,0,7.0,16.0
50819,0,5,0,7.0,6.0
50820,0,2,0,5.0,6.0
50821,0,5,1,2.0,34.0
50822,1,4,1,0.0,31.0
50823,1,4,1,7.0,11.0
50824,0,5,1,,23.0
50825,0,3,0,7.0,24.0
50826,0,3,1,6.0,8.0
50827,0,4,0,9.0,16.0
50828,1,4,1,2.0,6.0
50829,1,5,0,2.0,
50830,0,3,1,10.0,8.0
50831,0,3,0,11.0,8.0
50832,0,4,0,7.0,14.0
50833,0,3,0,0.0,22.0
50834,0,2,0,6.0,15.0
50835,0,2,0,8.0,8.0
50836,0,5,0,7.0,6.0
50837,0,3,1,1.0,10.0
