CustomerID,Gender,MaritalStatus,CityTier,PreferredLoginDevice,PreferredPaymentMode,NumberOfAddress
50063,Male,Single,1,Mobile Phone,Credit Card,9
50064,Male,Divorced,1,Computer,Debit Card,2
50065,Female,Single,1,Mobile Phone,Credit Card,4
50066,Male,Divorced,1,Mobile Phone,Debit Card,1
50067,Female,Single,1,Phone,CC,2
50068,Male,Divorced,1,Mobile Phone,Debit Card,4
50069,Male,Married,1,Computer,CC,5
50070,Male,Divorced,1,Computer,Credit Card,10
50071,Male,Divorced,1,Phone,Debit Card,2
50072,Female,Single,1,Computer,Credit Card,6
50073,Female,Married,1,Computer,Credit Card,3
50074,Male,Divorced,1,Mobile Phone,Debit Card,10
50075,Male,Divorced,1,Mobile Phone,COD,4
50076,Male,Divorced,1,Computer,COD,6
50077,Male,Married,1,Computer,Debit Card,2
50078,Male,Married,1,Computer,Credit Card,2
50079,Male,Divorced,1,Phone,CC,9
50080,Male,Divorced,1,Mobile Phone,Credit Card,8
50081,Female,Divorced,3,Mobile Phone,E wallet,2
50082,Male,Married,1,Phone,Debit Card,2
50083,Female,Single,1,Computer,CC,2
50084,Male,Divorced,1,Computer,Debit Card,10
50085,Male,Married,1,Mobile Phone,Credit Card,8
50086,Male,Divorced,3,Mobile Phone,Credit Card,2
50087,Male,Single,1,Computer,Debit Card,2
50088,Female,Single,3,Computer,Debit Card,2
50089,Male,Divorced,1,Mobile Phone,Debit Card,6
50090,Female,Single,1,Phone,COD,6
50091,Female,Single,3,Mobile Phone,Debit Card,4
50092,Female,Single,3,Computer,E wallet,6
50093,Male,Single,1,Phone,Cash on Delivery,1
50094,Female,Single,3,Computer,Credit Card,7
50095,Female,Divorced,3,Mobile Phone,E wallet,3
50096,Male,Single,1,Mobile Phone,Debit Card,9
50097,Female,Divorced,1,Phone,CC,7
50098,Male,Married,1,Computer,UPI,2
50099,Male,Married,3,Mobile Phone,Debit Card,1
50100,Male,Divorced,1,Computer,Credit Card,1
50101,Male,Divorced,1,Phone,Debit Card,4
50102,Male,Married,3,Computer,E wallet,5
50103,Female,Divorced,3,Computer,Credit Card,2
50104,Female,Single,3,Computer,E wallet,2
50105,Male,Single,1,Phone,CC,2
50106,Female,Single,1,Phone,Debit Card,8
50107,Male,Divorced,1,Mobile Phone,Cash on Delivery,2
50108,Male,Divorced,2,Phone,CC,9
50109,Female,Married,3,Mobile Phone,Credit Card,4
50110,Male,Divorced,1,Phone,CC,6
50111,Female,Divorced,3,Mobile Phone,E wallet,6
50112,Female,Divorced,1,Phone,Debit Card,8
50113,Male,Single,3,Computer,Debit Card,2
50114,Female,Divorced,3,Phone,Debit Card,3
50115,Male,Single,1,Phone,Debit Card,1
50116,Female,Married,1,Phone,CC,8
50117,Male,Divorced,3,Computer,E wallet,1
50118,Male,Married,1,Phone,Debit Card,3
50119,Male,Married,1,Phone,COD,2
50120,Male,Divorced,1,Mobile Phone,UPI,1
50121,Male,Married,1,Computer,Credit Card,10
50122,Female,Divorced,1,Phone,Debit Card,2
50123,Male,Divorced,1,Mobile Phone,Debit Card,7
50124,Female,Divorced,1,Phone,Credit Card,3
50125,Male,Divorced,1,Computer,Debit Card,5
50126,Male,Married,1,Computer,Credit Card,7
50127,Female,Single,1,Computer,Cash on Delivery,1
50128,Male,Single,1,Phone,Debit Card,2
50129,Female,Single,1,Mobile Phone,Debit Card,4
50130,Male,Married,3,Mobile Phone,E wallet,3
50131,Female,Divorced,1,Phone,Debit Card,1
50132,Female,Married,1,Phone,CC,1
50133,Male,Married,1,Mobile Phone,Credit Card,1
50134,Male,Divorced,1,Phone,Debit Card,2
50135,Male,Single,1,Computer,CC,1
50136,Male,Divorced,1,Computer,Debit Card,2
50137,Male,Divorced,3,Computer,Debit Card,4
50138,Male,Single,1,Phone,Cash on Delivery,5
50139,Female,Divorced,3,Mobile Phone,Cash on Delivery,4
50140,Male,Single,1,Phone,Debit Card,3
50141,Male,Divorced,3,Mobile Phone,Credit Card,3
50142,Male,Divorced,1,Mobile Phone,Credit Card,1
50143,Male,Married,1,Computer,Debit Card,2
50144,Male,Divorced,1,Mobile Phone,Credit Card,1
50145,Male,Divorced,1,Phone,Debit Card,1
50146,Male,Single,1,Mobile Phone,Credit Card,1
50147,Male,Divorced,1,Computer,Debit Card,2
50148,Male,Divorced,1,Phone,CC,2
50149,Male,Divorced,3,Mobile Phone,Credit Card,5
50150,Male,Single,1,Phone,CC,2
50151,Female,Married,1,Computer,Credit Card,3
50152,Female,Married,1,Mobile Phone,Debit Card,8
50153,Female,Married,3,Mobile Phone,Credit Card,2
50154,Female,Married,1,Computer,Debit Card,2
50155,Male,Married,1,Mobile Phone,Debit Card,4
50156,Male,Divorced,1,Mobile Phone,Credit Card,4
50157,Male,Divorced,3,Phone,Debit Card,2
50158,Male,Single,3,Computer,Debit Card,2
50159,Male,Divorced,1,Mobile Phone,COD,4
50160,Male,Divorced,1,Computer,Credit Card,2
50161,Female,Single,1,Phone,Debit Card,2
50162,Male,Married,1,Computer,Debit Card,4
50163,Male,Married,1,Mobile Phone,Debit Card,10
50164,Male,Married,1,Phone,CC,3
50165,Female,Single,1,Phone,Debit Card,2
50166,Female,Single,1,Computer,Debit Card,10
50167,Male,Single,1,Phone,COD,5
50168,Female,Married,3,Computer,E wallet,2
50169,Male,Single,3,Mobile Phone,E wallet,2
50170,Male,Divorced,1,Computer,CC,2
50171,Female,Divorced,3,Computer,E wallet,6
50172,Male,Single,1,Mobile Phone,Debit Card,2
50173,Male,Divorced,3,Mobile Phone,E wallet,1
50174,Male,Divorced,1,Computer,Debit Card,5
50175,Male,Married,1,Mobile Phone,Credit Card,6
50176,Male,Single,3,Mobile Phone,Debit Card,2
50177,Female,Single,3,Mobile Phone,Credit Card,2
50178,Male,Single,1,Mobile Phone,Credit Card,1
50179,Male,Divorced,3,Mobile Phone,COD,5
50180,Male,Married,1,Mobile Phone,Credit Card,1
50181,Female,Divorced,1,Computer,Debit Card,8
50182,Male,Divorced,3,Mobile Phone,Debit Card,2
50183,Female,Divorced,1,Mobile Phone,Debit Card,4
50184,Male,Married,1,Computer,Debit Card,3
50185,Male,Divorced,1,Phone,COD,1
50186,Male,Divorced,2,Mobile Phone,UPI,4
50187,Male,Married,1,Computer,Debit Card,2
50188,Male,Married,1,Phone,Debit Card,1
50189,Female,Divorced,1,Computer,Debit Card,7
50190,Male,Divorced,1,Mobile Phone,Credit Card,2
50191,Female,Single,1,Computer,Debit Card,1
50192,Female,Single,1,Mobile Phone,Cash on Delivery,8
50193,Male,Divorced,1,Phone,Credit Card,3
50194,Female,Single,1,Phone,Debit Card,2
50195,Female,Divorced,3,Mobile Phone,COD,2
50196,Male,Single,3,Phone,Debit Card,2
50197,Male,Married,3,Mobile Phone,E wallet,5
50198,Female,Single,1,Mobile Phone,Credit Card,8
50199,Male,Divorced,1,Phone,CC,6
50200,Female,Divorced,1,Mobile Phone,Credit Card,2
50201,Female,Divorced,1,Computer,Debit Card,2
50202,Male,Divorced,1,Computer,Credit Card,2
50203,Female,Divorced,3,Mobile Phone,Credit Card,5
50204,Male,Single,3,Computer,E wallet,4
50205,Male,Divorced,1,Mobile Phone,Debit Card,5
50206,Female,Married,1,Computer,Debit Card,2
50207,Male,Divorced,3,Computer,E wallet,1
50208,Female,Single,1,Computer,Debit Card,4
50209,Female,Divorced,1,Mobile Phone,Debit Card,9
50210,Male,Divorced,1,Phone,UPI,10
50211,Male,Divorced,3,Mobile Phone,Credit Card,3
50212,Male,Divorced,1,Phone,UPI,2
50213,Male,Single,1,Phone,UPI,1
50214,Female,Married,3,Mobile Phone,E wallet,2
50215,Female,Divorced,3,Mobile Phone,E wallet,2
50216,Male,Married,1,Mobile Phone,Credit Card,8
50217,Male,Married,1,Mobile Phone,Debit Card,1
50218,Female,Single,1,Mobile Phone,Credit Card,2
50219,Female,Married,3,Mobile Phone,E wallet,2
50220,Male,Single,1,Mobile Phone,COD,1
50221,Male,Married,1,Phone,Debit Card,2
50222,Male,Single,1,Mobile Phone,Credit Card,7
50223,Male,Single,3,Computer,CC,4
50224,Female,Single,1,Mobile Phone,Debit Card,3
50225,Male,Divorced,3,Computer,Debit Card,2
50226,Male,Married,2,Phone,COD,1
50227,Female,Divorced,1,Phone,CC,2
50228,Female,Divorced,3,Mobile Phone,Credit Card,4
50229,Male,Married,1,Mobile Phone,Credit Card,5
50230,Female,Divorced,3,Computer,COD,8
50231,Male,Divorced,3,Mobile Phone,Debit Card,2
50232,Male,Single,1,Mobile Phone,UPI,4
50233,Female,Single,3,Computer,Cash on Delivery,2
50234,Female,Single,3,Computer,Credit Card,5
50235,Male,Divorced,3,Computer,Credit Card,5
50236,Male,Divorced,1,Mobile Phone,Credit Card,3
50237,Female,Divorced,1,Phone,Debit Card,4
50238,Male,Single,3,Computer,CC,2
50239,Female,Single,3,Phone,E wallet,2
50240,Female,Divorced,1,Phone,CC,7
50241,Female,Divorced,1,Computer,Credit Card,3
50242,Male,Single,3,Computer,E wallet,2
50243,Male,Single,1,Mobile Phone,Cash on Delivery,7
50244,Male,Divorced,3,Mobile Phone,E wallet,3
50245,Male,Single,1,Phone,Debit Card,1
50246,Female,Single,3,Phone,Debit Card,2
50247,Male,Single,1,Phone,Debit Card,10
50248,Male,Single,1,Mobile Phone,Debit Card,10
50249,Male,Married,1,Phone,Credit Card,2
50250,Male,Single,3,Mobile Phone,Debit Card,2
50251,Male,Single,1,Phone,UPI,9
50252,Female,Divorced,3,Phone,Debit Card,5
50253,Female,Divorced,1,Phone,Debit Card,5
50254,Male,Single,3,Computer,E wallet,9
50255,Female,Single,1,Mobile Phone,Debit Card,3
50256,Female,Married,3,Phone,E wallet,2
50257,Male,Divorced,3,Phone,COD,2
50258,Male,Single,1,Computer,COD,1
50259,Female,Divorced,1,Phone,CC,2
50260,Male,Divorced,3,Mobile Phone,Credit Card,2
50261,Male,Single,1,Computer,COD,19
50262,Female,Married,1,Phone,Debit Card,2
50263,Female,Married,3,Mobile Phone,E wallet,8
50264,Female,Married,1,Phone,Debit Card,4
50265,Male,Single,1,Phone,Debit Card,3
50266,Male,Married,1,Mobile Phone,Debit Card,2
50267,Female,Divorced,1,Phone,CC,7
50268,Male,Divorced,1,Mobile Phone,Credit Card,5
50269,Female,Divorced,3,Computer,E wallet,10
50270,Female,Divorced,1,Phone,Credit Card,2
50271,Male,Divorced,1,Computer,CC,8
50272,Female,Married,1,Phone,UPI,5
50273,Female,Single,3,Phone,Debit Card,2
50274,Female,Divorced,1,Computer,Credit Card,4
50275,Male,Divorced,1,Phone,Debit Card,2
50276,Male,Married,1,Computer,Debit Card,2
50277,Female,Divorced,3,Computer,Debit Card,10
50278,Female,Single,3,Mobile Phone,COD,1
50279,Male,Divorced,3,Mobile Phone,E wallet,2
50280,Male,Married,1,Phone,Credit Card,2
50281,Male,Divorced,1,Phone,Credit Card,6
50282,Male,Divorced,1,Mobile Phone,Credit Card,3
50283,Male,Divorced,1,Phone,Debit Card,4
50284,Female,Divorced,1,Mobile Phone,Debit Card,3
50285,Female,Married,1,Computer,Debit Card,3
50286,Female,Single,1,Mobile Phone,Debit Card,3
50287,Female,Divorced,1,Mobile Phone,Debit Card,6
50288,Female,Married,1,Phone,Credit Card,3
50289,Female,Divorced,1,Computer,COD,1
50290,Female,Single,3,Phone,COD,2
50291,Female,Married,3,Computer,E wallet,1
50292,Male,Divorced,1,Computer,Debit Card,2
50293,Female,Divorced,3,Mobile Phone,Debit Card,1
50294,Female,Married,1,Phone,Debit Card,2
50295,Male,Divorced,1,Computer,Debit Card,5
50296,Male,Divorced,1,Mobile Phone,Credit Card,2
50297,Female,Divorced,1,Phone,COD,6
50298,Male,Single,2,Phone,COD,2
50299,Female,Divorced,3,Computer,UPI,1
50300,Male,Married,3,Mobile Phone,E wallet,4
50301,Male,Divorced,1,Mobile Phone,Debit Card,1
50302,Female,Single,1,Computer,CC,1
50303,Female,Divorced,3,Computer,E wallet,5
50304,Female,Married,1,Mobile Phone,Credit Card,6
50305,Male,Divorced,1,Mobile Phone,Debit Card,7
50306,Male,Single,1,Phone,Debit Card,1
50307,Female,Single,1,Phone,Debit Card,8
50308,Male,Married,1,Phone,Debit Card,4
50309,Female,Divorced,3,Mobile Phone,E wallet,3
50310,Male,Married,1,Mobile Phone,Debit Card,2
50311,Male,Divorced,1,Mobile Phone,Credit Card,8
50312,Male,Married,1,Phone,CC,8
50313,Male,Single,3,Phone,E wallet,1
50314,Male,Divorced,1,Mobile Phone,Debit Card,5
50315,Male,Divorced,1,Computer,Debit Card,4
50316,Female,Married,2,Computer,UPI,10
50317,Male,Divorced,1,Computer,UPI,5
50318,Male,Single,3,Computer,Credit Card,2
50319,Male,Single,1,Computer,COD,6
50320,Female,Divorced,3,Phone,E wallet,3
50321,Female,Single,3,Mobile Phone,Debit Card,4
50322,Male,Single,3,Computer,Debit Card,8
50323,Male,Divorced,3,Phone,E wallet,10
50324,Female,Single,1,Mobile Phone,Debit Card,8
50325,Female,Divorced,1,Computer,Debit Card,2
50326,Male,Single,3,Mobile Phone,Debit Card,5
50327,Male,Divorced,1,Mobile Phone,Credit Card,2
50328,Male,Divorced,3,Phone,UPI,1
50329,Female,Married,2,Computer,Debit Card,1
50330,Male,Married,1,Phone,COD,5
50331,Female,Married,1,Mobile Phone,Credit Card,5
50332,Male,Married,3,Mobile Phone,Debit Card,10
50333,Male,Single,3,Computer,E wallet,2
50334,Male,Married,3,Computer,UPI,4
50335,Female,Single,1,Computer,UPI,3
50336,Male,Married,3,Phone,Credit Card,6
50337,Female,Single,3,Phone,Credit Card,2
50338,Male,Single,3,Mobile Phone,Debit Card,2
50339,Male,Single,1,Phone,COD,2
50340,Female,Single,1,Mobile Phone,COD,5
50341,Female,Divorced,1,Computer,Credit Card,6
50342,Female,Divorced,3,Mobile Phone,Debit Card,8
50343,Male,Married,3,Computer,Credit Card,2
50344,Male,Married,1,Mobile Phone,COD,4
50345,Male,Divorced,3,Computer,UPI,9
50346,Male,Divorced,3,Computer,CC,1
50347,Female,Divorced,1,Mobile Phone,Credit Card,4
50348,Female,Divorced,1,Mobile Phone,Debit Card,7
50349,Male,Married,1,Mobile Phone,Debit Card,2
50350,Male,Divorced,1,Phone,CC,2
50351,Male,Divorced,3,Mobile Phone,E wallet,2
50352,Male,Divorced,1,Phone,UPI,2
50353,Male,Divorced,2,Computer,Credit Card,2
50354,Male,Divorced,3,Phone,CC,2
50355,Female,Divorced,1,Computer,Debit Card,2
50356,Male,Divorced,3,Computer,Debit Card,2
50357,Male,Divorced,1,Phone,Debit Card,2
50358,Male,Married,3,Phone,Credit Card,3
50359,Male,Single,1,Phone,UPI,5
50360,Male,Married,3,Mobile Phone,Credit Card,5
50361,Female,Married,1,Phone,CC,1
50362,Male,Divorced,3,Mobile Phone,E wallet,5
50363,Female,Single,1,Phone,Debit Card,2
50364,Female,Divorced,1,Phone,Debit Card,2
50365,Male,Married,1,Mobile Phone,UPI,5
50366,Female,Single,1,Phone,Debit Card,4
50367,Male,Married,1,Computer,Credit Card,4
50368,Female,Divorced,1,Mobile Phone,Debit Card,8
50369,Female,Single,2,Mobile Phone,Debit Card,5
50370,Female,Married,3,Phone,COD,2
50371,Male,Married,3,Phone,E wallet,1
50372,Male,Single,3,Phone,COD,2
50373,Male,Divorced,1,Mobile Phone,UPI,5
50374,Male,Divorced,1,Phone,CC,1
50375,Male,Married,3,Mobile Phone,E wallet,1
50376,Female,Divorced,1,Mobile Phone,Debit Card,2
50377,Female,Married,1,Computer,CC,2
50378,Female,Single,3,Mobile Phone,Credit Card,8
50379,Male,Divorced,1,Phone,Debit Card,2
50380,Female,Divorced,3,Computer,Debit Card,3
50381,Female,Divorced,1,Phone,Debit Card,2
50382,Male,Divorced,1,Mobile Phone,UPI,2
50383,Female,Divorced,3,Mobile Phone,Credit Card,2
50384,Male,Single,1,Mobile Phone,Debit Card,2
50385,Male,Married,1,Computer,Debit Card,4
50386,Male,Divorced,2,Mobile Phone,Credit Card,3
50387,Male,Married,1,Mobile Phone,Credit Card,3
50388,Male,Single,1,Phone,CC,1
50389,Male,Single,1,Mobile Phone,Credit Card,2
50390,Male,Single,1,Computer,Debit Card,2
50391,Male,Divorced,1,Computer,Debit Card,2
50392,Male,Divorced,1,Phone,CC,3
50393,Male,Divorced,3,Phone,Debit Card,1
50394,Female,Single,3,Phone,E wallet,1
50395,Male,Married,1,Computer,Debit Card,2
50396,Male,Divorced,3,Mobile Phone,E wallet,4
50397,Female,Married,3,Computer,Credit Card,2
50398,Male,Single,1,Phone,Debit Card,4
50399,Male,Divorced,1,Phone,CC,2
50400,Female,Single,1,Mobile Phone,Credit Card,2
50401,Female,Single,3,Phone,Debit Card,10
50402,Female,Single,1,Phone,COD,2
50403,Male,Single,3,Mobile Phone,E wallet,2
50404,Male,Divorced,3,Computer,COD,4
50405,Female,Single,1,Mobile Phone,Debit Card,1
50406,Female,Divorced,1,Mobile Phone,Debit Card,2
50407,Female,Single,1,Mobile Phone,Debit Card,4
50408,Male,Single,3,Mobile Phone,E wallet,3
50409,Male,Divorced,3,Computer,Debit Card,6
50410,Male,Divorced,1,Mobile Phone,Debit Card,4
50411,Male,Married,2,Mobile Phone,UPI,4
50412,Male,Single,3,Mobile Phone,E wallet,9
50413,Male,Married,1,Computer,Debit Card,2
50414,Male,Divorced,2,Mobile Phone,UPI,2
50415,Male,Divorced,3,Phone,E wallet,8
50416,Female,Single,1,Phone,Debit Card,8
50417,Female,Divorced,1,Computer,Debit Card,10
50418,Female,Single,1,Mobile Phone,Debit Card,5
50419,Male,Single,1,Computer,Credit Card,3
50420,Female,Married,3,Computer,Credit Card,10
50421,Male,Married,3,Mobile Phone,E wallet,8
50422,Male,Single,3,Phone,Debit Card,2
50423,Male,Married,1,Computer,CC,7
50424,Male,Divorced,3,Computer,Debit Card,4
50425,Female,Single,1,Mobile Phone,Credit Card,4
50426,Male,Divorced,1,Phone,CC,2
50427,Female,Divorced,2,Mobile Phone,UPI,10
50428,Male,Divorced,1,Mobile Phone,Credit Card,8
50429,Female,Single,1,Phone,CC,1
50430,Female,Single,1,Mobile Phone,Credit Card,9
50431,Male,Married,3,Phone,E wallet,2
50432,Male,Single,1,Phone,Debit Card,3
50433,Female,Married,1,Computer,Debit Card,3
50434,Male,Divorced,1,Computer,Debit Card,2
50435,Male,Divorced,1,Phone,CC,7
50436,Female,Married,1,Mobile Phone,Debit Card,4
50437,Male,Divorced,3,Mobile Phone,E wallet,2
50438,Male,Single,1,Phone,UPI,2
50439,Female,Single,3,Mobile Phone,Credit Card,2
50440,Male,Single,3,Mobile Phone,COD,1
50441,Male,Single,1,Phone,Credit Card,2
50442,Female,Single,3,Computer,Debit Card,5
50443,Male,Single,3,Mobile Phone,UPI,2
50444,Male,Divorced,1,Mobile Phone,Credit Card,6
50445,Male,Single,3,Computer,Debit Card,2
50446,Male,Divorced,1,Computer,Credit Card,1
50447,Female,Married,1,Computer,Debit Card,4
50448,Female,Divorced,1,Phone,Credit Card,5
50449,Male,Single,3,Mobile Phone,COD,7
50450,Female,Single,1,Phone,Debit Card,3
50451,Female,Married,1,Mobile Phone,Credit Card,10
50452,Male,Divorced,3,Computer,E wallet,1
50453,Female,Married,1,Phone,Debit Card,1
50454,Female,Single,1,Computer,Debit Card,7
50455,Female,Single,1,Phone,Credit Card,2
50456,Female,Divorced,3,Phone,Debit Card,2
50457,Male,Divorced,1,Phone,Debit Card,4
50458,Female,Divorced,1,Computer,Credit Card,2
50459,Female,Divorced,3,Mobile Phone,Debit Card,6
50460,Male,Married,1,Computer,Debit Card,2
50461,Male,Divorced,1,Mobile Phone,Debit Card,2
50462,Male,Married,1,Computer,Debit Card,2
50463,Female,Divorced,1,Phone,Debit Card,9
50464,Male,Divorced,1,Mobile Phone,Credit Card,6
50465,Female,Divorced,1,Phone,Debit Card,2
50466,Male,Divorced,1,Mobile Phone,Credit Card,1
50467,Female,Single,3,Mobile Phone,E wallet,6
50468,Female,Divorced,1,Mobile Phone,UPI,2
50469,Female,Divorced,1,Mobile Phone,UPI,1
50470,Male,Divorced,1,Phone,Debit Card,2
50471,Male,Single,1,Mobile Phone,Debit Card,8
50472,Female,Single,1,Phone,Debit Card,4
50473,Female,Divorced,1,Mobile Phone,Debit Card,10
50474,Male,Single,1,Phone,Credit Card,7
50475,Male,Divorced,2,Phone,UPI,4
50476,Female,Divorced,1,Mobile Phone,Debit Card,2
50477,Male,Single,1,Computer,Credit Card,7
50478,Female,Single,1,Mobile Phone,Credit Card,6
50479,Female,Single,1,Phone,Debit Card,2
50480,Male,Divorced,1,Phone,Debit Card,2
50481,Male,Married,1,Computer,Debit Card,3
50482,Female,Single,1,Computer,Debit Card,2
50483,Female,Divorced,3,Mobile Phone,E wallet,2
50484,Male,Single,3,Mobile Phone,Credit Card,5
50485,Male,Divorced,1,Mobile Phone,Debit Card,7
50486,Male,Married,1,Mobile Phone,Cash on Delivery,2
50487,Male,Single,1,Mobile Phone,UPI,4
50488,Female,Divorced,3,Phone,E wallet,2
50489,Male,Divorced,2,Phone,UPI,1
50490,Female,Divorced,1,Computer,CC,2
50491,Male,Divorced,1,Computer,Credit Card,2
50492,Female,Divorced,3,Mobile Phone,E wallet,3
50493,Male,Single,1,Mobile Phone,Credit Card,10
50494,Male,Single,1,Phone,CC,8
50495,Male,Married,3,Phone,Credit Card,2
50496,Female,Single,1,Phone,CC,2
50497,Male,Divorced,3,Mobile Phone,Debit Card,2
50498,Male,Married,3,Phone,Debit Card,3
50499,Male,Married,1,Computer,Debit Card,10
50500,Female,Divorced,3,Mobile Phone,E wallet,8
50501,Male,Married,3,Mobile Phone,E wallet,5
50502,Female,Divorced,1,Mobile Phone,Credit Card,6
50503,Female,Divorced,1,Computer,Credit Card,4
50504,Male,Married,3,Mobile Phone,E wallet,5
50505,Male,Married,2,Phone,Credit Card,2
50506,Male,Divorced,1,Phone,Debit Card,7
50507,Male,Divorced,1,Phone,Debit Card,3
50508,Male,Single,1,Computer,CC,6
50509,Male,Divorced,2,Phone,Debit Card,1
50510,Male,Divorced,3,Phone,UPI,2
50511,Female,Divorced,1,Mobile Phone,Debit Card,2
50512,Female,Married,1,Computer,Debit Card,2
50513,Male,Married,1,Computer,Debit Card,1
50514,Male,Divorced,3,Phone,E wallet,2
50515,Female,Divorced,1,Phone,COD,3
50516,Male,Divorced,1,Computer,Debit Card,1
50517,Male,Divorced,3,Computer,Debit Card,2
50518,Male,Divorced,3,Phone,E wallet,1
50519,Female,Divorced,1,Mobile Phone,Debit Card,3
50520,Male,Divorced,1,Phone,Debit Card,4
50521,Female,Married,3,Phone,CC,7
50522,Male,Divorced,3,Mobile Phone,E wallet,6
50523,Male,Divorced,1,Mobile Phone,Cash on Delivery,4
50524,Female,Divorced,3,Computer,CC,6
50525,Female,Single,1,Mobile Phone,Debit Card,7
50526,Female,Divorced,1,Computer,Debit Card,5
50527,Female,Divorced,3,Phone,E wallet,1
50528,Male,Single,3,Computer,Credit Card,2
50529,Male,Married,1,Computer,Debit Card,2
50530,Female,Divorced,2,Mobile Phone,Debit Card,9
50531,Male,Married,2,Phone,UPI,4
50532,Male,Single,1,Phone,Debit Card,2
50533,Female,Married,1,Phone,CC,7
50534,Male,Divorced,1,Phone,Debit Card,2
50535,Male,Single,3,Phone,Credit Card,2
50536,Male,Married,1,Computer,Debit Card,10
50537,Female,Married,1,Phone,Debit Card,5
50538,Female,Single,3,Phone,CC,2
50539,Female,Single,1,Phone,UPI,2
50540,Male,Divorced,1,Mobile Phone,Debit Card,1
50541,Female,Single,3,Phone,Debit Card,2
50542,Female,Divorced,1,Phone,Debit Card,1
50543,Female,Married,1,Phone,Debit Card,5
50544,Female,Married,1,Phone,CC,6
50545,Male,Divorced,1,Phone,CC,8
50546,Female,Single,1,Phone,Debit Card,2
50547,Male,Married,1,Mobile Phone,Debit Card,2
50548,Female,Single,3,Mobile Phone,Credit Card,8
50549,Male,Single,1,Phone,UPI,4
50550,Female,Married,1,Mobile Phone,Cash on Delivery,3
50551,Male,Divorced,3,Phone,Debit Card,4
50552,Female,Divorced,1,Phone,Debit Card,2
50553,Female,Divorced,1,Mobile Phone,UPI,5
50554,Male,Divorced,1,Phone,CC,5
50555,Female,Divorced,3,Computer,E wallet,2
50556,Male,Single,1,Phone,UPI,3
50557,Female,Divorced,1,Mobile Phone,Cash on Delivery,2
50558,Female,Divorced,1,Computer,Debit Card,7
50559,Male,Divorced,3,Phone,E wallet,2
50560,Male,Married,3,Mobile Phone,E wallet,3
50561,Male,Single,3,Computer,Credit Card,2
50562,Male,Single,1,Phone,Credit Card,3
50563,Male,Single,1,Phone,CC,5
