CustomerID,Tenure,HourSpendOnApp,NumberOfDeviceRegistered,PreferedOrderCat,OrderCount,OrderAmountHikeFromlastYear,CouponUsed,CashbackAmount
50059,23.0,2.0,4,Mobile Phone,1.0,15.0,0.0,137
50060,26.0,2.0,2,Laptop & Accessory,1.0,11.0,1.0,145
50061,6.0,,3,Mobile,1.0,13.0,0.0,128
50062,13.0,2.0,3,Others,9.0,14.0,,290
50063,28.0,3.0,2,Others,2.0,11.0,,287
50064,7.0,2.0,4,Laptop & Accessory,1.0,17.0,0.0,195
50065,24.0,3.0,3,Grocery,,18.0,0.0,237
50066,25.0,3.0,4,Others,11.0,,1.0,300
50067,,2.0,3,Mobile,1.0,16.0,1.0,123
50068,0.0,2.0,4,Laptop & Accessory,1.0,13.0,1.0,159
50069,,2.0,2,Mobile,2.0,14.0,0.0,121
50070,18.0,3.0,4,Grocery,11.0,23.0,,268
50071,10.0,3.0,2,Mobile Phone,1.0,12.0,0.0,136
50072,8.0,2.0,3,Laptop & Accessory,1.0,11.0,1.0,144
50073,15.0,2.0,3,Laptop & Accessory,1.0,16.0,0.0,153
50074,11.0,2.0,3,Laptop & Accessory,1.0,14.0,0.0,166
50075,11.0,2.0,3,Laptop & Accessory,1.0,18.0,0.0,163
50076,0.0,2.0,4,Laptop & Accessory,2.0,19.0,0.0,143
50077,22.0,3.0,3,Laptop & Accessory,1.0,15.0,0.0,168
50078,7.0,2.0,3,Mobile Phone,2.0,17.0,2.0,138
50079,13.0,,3,Laptop & Accessory,3.0,15.0,1.0,127
50080,1.0,3.0,3,Laptop & Accessory,1.0,19.0,0.0,167
50081,0.0,2.0,3,Fashion,1.0,22.0,1.0,176
50082,0.0,2.0,2,Mobile,2.0,16.0,0.0,123
50083,,3.0,3,Mobile,1.0,13.0,1.0,122
50084,13.0,3.0,4,Laptop & Accessory,1.0,14.0,1.0,149
50085,19.0,3.0,3,Fashion,1.0,16.0,0.0,194
50086,0.0,2.0,5,Fashion,9.0,11.0,7.0,204
50087,3.0,2.0,4,Fashion,5.0,22.0,2.0,185
50088,0.0,2.0,3,Laptop & Accessory,1.0,14.0,1.0,200
50089,24.0,2.0,4,Fashion,4.0,16.0,1.0,225
50090,0.0,2.0,3,Mobile,1.0,11.0,1.0,127
50091,14.0,3.0,3,Fashion,,18.0,0.0,236
50092,0.0,2.0,4,Laptop & Accessory,1.0,15.0,0.0,167
50093,,2.0,3,Mobile,1.0,14.0,0.0,121
50094,18.0,2.0,4,Fashion,12.0,12.0,12.0,189
50095,27.0,2.0,3,Laptop & Accessory,1.0,14.0,1.0,159
50096,9.0,3.0,3,Laptop & Accessory,3.0,16.0,0.0,159
50097,6.0,2.0,4,Mobile,1.0,21.0,0.0,126
50098,10.0,2.0,3,Fashion,1.0,14.0,0.0,222
50099,11.0,3.0,3,Fashion,5.0,12.0,1.0,206
50100,4.0,2.0,5,Laptop & Accessory,1.0,12.0,1.0,143
50101,,3.0,4,Mobile,1.0,17.0,0.0,122
50102,10.0,2.0,3,Mobile Phone,5.0,17.0,1.0,0
50103,2.0,2.0,3,Fashion,4.0,14.0,4.0,179
50104,8.0,3.0,3,Fashion,1.0,14.0,1.0,188
50105,0.0,2.0,4,Mobile,1.0,13.0,0.0,124
50106,25.0,2.0,4,Mobile,2.0,15.0,0.0,132
50107,15.0,2.0,3,Others,11.0,,0.0,292
50108,,2.0,3,Mobile,2.0,17.0,2.0,123
50109,23.0,3.0,3,Others,1.0,,1.0,295
50110,0.0,2.0,3,Mobile,1.0,13.0,0.0,124
50111,16.0,3.0,3,Grocery,,22.0,0.0,261
50112,0.0,,3,Mobile,1.0,20.0,1.0,127
50113,25.0,3.0,4,Others,15.0,18.0,,291
50114,5.0,2.0,3,Mobile Phone,1.0,11.0,1.0,139
50115,0.0,3.0,4,Mobile Phone,1.0,14.0,1.0,137
50116,,3.0,3,Mobile,1.0,14.0,0.0,122
50117,5.0,3.0,3,Laptop & Accessory,2.0,18.0,1.0,145
50118,14.0,,3,Laptop & Accessory,1.0,16.0,1.0,131
50119,13.0,3.0,3,Laptop & Accessory,4.0,17.0,2.0,133
50120,18.0,3.0,2,Others,1.0,,1.0,292
50121,4.0,3.0,3,Fashion,,12.0,1.0,237
50122,6.0,,4,Mobile,1.0,13.0,0.0,129
50123,7.0,2.0,4,Laptop & Accessory,5.0,13.0,0.0,160
50124,10.0,2.0,4,Mobile Phone,1.0,14.0,1.0,139
50125,18.0,3.0,2,Laptop & Accessory,1.0,17.0,0.0,164
50126,0.0,3.0,3,Fashion,1.0,11.0,1.0,200
50127,12.0,3.0,3,Fashion,11.0,25.0,10.0,209
50128,2.0,2.0,3,Mobile,1.0,19.0,0.0,123
50129,15.0,2.0,2,Laptop & Accessory,1.0,13.0,0.0,165
50130,2.0,2.0,3,Laptop & Accessory,1.0,14.0,1.0,169
50131,0.0,3.0,3,Laptop & Accessory,1.0,12.0,1.0,149
50132,15.0,2.0,4,Mobile,7.0,11.0,4.0,126
50133,13.0,2.0,3,Others,3.0,,0.0,294
50134,24.0,,3,Mobile,1.0,11.0,1.0,127
50135,0.0,3.0,4,Mobile,1.0,11.0,1.0,135
50136,5.0,,2,Mobile,1.0,20.0,0.0,128
50137,11.0,2.0,4,Laptop & Accessory,7.0,18.0,6.0,152
50138,,2.0,4,Laptop & Accessory,1.0,13.0,0.0,122
50139,19.0,3.0,5,Grocery,7.0,12.0,,269
50140,0.0,3.0,3,Mobile,1.0,11.0,1.0,135
50141,2.0,3.0,4,Laptop & Accessory,1.0,19.0,0.0,166
50142,4.0,3.0,4,Laptop & Accessory,7.0,21.0,1.0,156
50143,0.0,2.0,2,Laptop & Accessory,1.0,12.0,1.0,140
50144,18.0,3.0,3,Grocery,,14.0,0.0,235
50145,9.0,2.0,3,Mobile,10.0,11.0,4.0,132
50146,28.0,2.0,3,Others,4.0,14.0,,290
50147,10.0,2.0,3,Fashion,9.0,12.0,5.0,218
50148,,3.0,3,Mobile,1.0,23.0,1.0,121
50149,10.0,3.0,3,Laptop & Accessory,1.0,14.0,0.0,165
50150,0.0,3.0,4,Mobile,1.0,17.0,1.0,132
50151,10.0,0.0,3,Fashion,,18.0,0.0,236
50152,2.0,3.0,2,Fashion,6.0,18.0,5.0,220
50153,11.0,2.0,2,Laptop & Accessory,7.0,24.0,0.0,156
50154,0.0,2.0,3,Laptop & Accessory,1.0,20.0,0.0,164
50155,23.0,3.0,3,Others,1.0,14.0,,291
50156,26.0,2.0,3,Grocery,1.0,16.0,,276
50157,15.0,2.0,3,Laptop & Accessory,11.0,25.0,4.0,149
50158,2.0,2.0,3,Laptop & Accessory,1.0,18.0,0.0,146
50159,28.0,2.0,3,Laptop & Accessory,1.0,19.0,1.0,154
50160,0.0,2.0,3,Laptop & Accessory,3.0,13.0,2.0,147
50161,,2.0,3,Mobile,5.0,12.0,1.0,121
50162,7.0,,3,Mobile,1.0,22.0,0.0,132
50163,11.0,2.0,3,Laptop & Accessory,1.0,14.0,0.0,157
50164,0.0,2.0,3,Mobile,1.0,13.0,1.0,124
50165,1.0,3.0,3,Mobile,1.0,21.0,0.0,133
50166,22.0,2.0,3,Others,1.0,11.0,,287
50167,9.0,1.0,3,Laptop & Accessory,7.0,12.0,6.0,145
50168,4.0,,3,Mobile,2.0,11.0,0.0,128
50169,0.0,2.0,4,Laptop & Accessory,7.0,12.0,7.0,158
50170,10.0,2.0,3,Mobile,1.0,12.0,0.0,123
50171,15.0,3.0,3,Grocery,,14.0,2.0,235
50172,,2.0,3,Mobile Phone,1.0,13.0,0.0,114
50173,8.0,3.0,3,Fashion,6.0,15.0,3.0,180
50174,9.0,2.0,2,Mobile Phone,1.0,18.0,0.0,137
50175,24.0,2.0,5,Laptop & Accessory,1.0,18.0,0.0,155
50176,14.0,2.0,3,Grocery,,19.0,1.0,260
50177,0.0,3.0,4,Mobile Phone,1.0,12.0,1.0,112
50178,1.0,3.0,2,Laptop & Accessory,1.0,19.0,0.0,157
50179,4.0,3.0,2,Laptop & Accessory,7.0,11.0,3.0,169
50180,12.0,2.0,2,Fashion,3.0,17.0,3.0,196
50181,9.0,2.0,3,Laptop & Accessory,1.0,15.0,0.0,157
50182,5.0,3.0,4,Laptop & Accessory,4.0,14.0,1.0,155
50183,11.0,2.0,4,Fashion,1.0,17.0,1.0,221
50184,30.0,2.0,5,Laptop & Accessory,1.0,13.0,1.0,157
50185,4.0,2.0,3,Mobile Phone,1.0,12.0,0.0,148
50186,4.0,3.0,4,Laptop & Accessory,1.0,12.0,0.0,164
50187,18.0,3.0,3,Fashion,9.0,18.0,5.0,152
50188,4.0,,3,Mobile,2.0,18.0,1.0,127
50189,6.0,3.0,3,Fashion,8.0,11.0,2.0,219
50190,12.0,2.0,3,Grocery,11.0,14.0,,271
50191,16.0,2.0,3,Mobile,1.0,19.0,0.0,125
50192,22.0,2.0,4,Grocery,,12.0,1.0,240
50193,15.0,2.0,4,Laptop & Accessory,7.0,15.0,7.0,149
50194,0.0,2.0,3,Mobile,1.0,12.0,0.0,125
50195,5.0,3.0,4,Laptop & Accessory,11.0,11.0,6.0,152
50196,0.0,3.0,3,Laptop & Accessory,1.0,11.0,1.0,145
50197,4.0,3.0,3,Laptop & Accessory,1.0,12.0,0.0,175
50198,5.0,3.0,2,Laptop & Accessory,1.0,16.0,1.0,151
50199,0.0,2.0,5,Mobile,2.0,13.0,2.0,135
50200,3.0,3.0,3,Laptop & Accessory,1.0,13.0,0.0,158
50201,4.0,2.0,4,Fashion,8.0,24.0,3.0,189
50202,12.0,2.0,4,Others,13.0,,9.0,293
50203,2.0,2.0,3,Laptop & Accessory,1.0,18.0,1.0,152
50204,6.0,2.0,4,Laptop & Accessory,1.0,14.0,1.0,147
50205,20.0,2.0,3,Others,1.0,11.0,,283
50206,16.0,2.0,4,Laptop & Accessory,1.0,11.0,0.0,153
50207,0.0,3.0,3,Laptop & Accessory,1.0,13.0,0.0,163
50208,27.0,2.0,3,Laptop & Accessory,1.0,12.0,1.0,149
50209,16.0,2.0,3,Fashion,1.0,16.0,1.0,200
50210,18.0,3.0,3,Laptop & Accessory,9.0,14.0,7.0,137
50211,13.0,2.0,5,Laptop & Accessory,1.0,22.0,1.0,175
50212,,3.0,5,Mobile,1.0,11.0,1.0,121
50213,2.0,1.0,4,Mobile Phone,2.0,17.0,2.0,140
50214,3.0,1.0,4,Laptop & Accessory,1.0,13.0,0.0,161
50215,0.0,2.0,3,Laptop & Accessory,1.0,18.0,0.0,162
50216,10.0,3.0,3,Laptop & Accessory,1.0,16.0,0.0,163
50217,11.0,3.0,4,Fashion,2.0,14.0,1.0,215
50218,4.0,2.0,3,Fashion,4.0,14.0,2.0,171
50219,2.0,2.0,4,Laptop & Accessory,1.0,14.0,0.0,183
50220,8.0,3.0,3,Fashion,1.0,13.0,0.0,181
50221,0.0,,3,Mobile,1.0,12.0,1.0,129
50222,14.0,3.0,4,Laptop & Accessory,1.0,15.0,1.0,160
50223,20.0,,3,Laptop & Accessory,1.0,19.0,0.0,130
50224,15.0,2.0,3,Grocery,,14.0,0.0,260
50225,2.0,3.0,3,Laptop & Accessory,1.0,14.0,1.0,146
50226,15.0,,3,Mobile,1.0,11.0,1.0,127
50227,5.0,3.0,3,Mobile,1.0,13.0,0.0,124
50228,21.0,3.0,3,Fashion,1.0,21.0,0.0,225
50229,10.0,2.0,2,Laptop & Accessory,6.0,13.0,2.0,160
50230,3.0,2.0,3,Laptop & Accessory,2.0,12.0,1.0,147
50231,0.0,2.0,3,Laptop & Accessory,7.0,17.0,2.0,153
50232,15.0,3.0,4,Laptop & Accessory,1.0,23.0,0.0,168
50233,,2.0,4,Mobile,1.0,11.0,1.0,122
50234,9.0,2.0,3,Laptop & Accessory,1.0,15.0,1.0,167
50235,9.0,2.0,4,Fashion,1.0,11.0,0.0,197
50236,30.0,2.0,3,Laptop & Accessory,1.0,11.0,1.0,168
50237,,2.0,2,Mobile,1.0,13.0,0.0,122
50238,0.0,2.0,3,Mobile,2.0,24.0,0.0,126
50239,0.0,,3,Mobile,1.0,13.0,1.0,129
50240,10.0,3.0,3,Mobile,1.0,20.0,1.0,135
50241,19.0,1.0,3,Laptop & Accessory,1.0,14.0,0.0,153
50242,4.0,2.0,3,Laptop & Accessory,7.0,18.0,7.0,194
50243,23.0,3.0,4,Fashion,1.0,15.0,0.0,205
50244,3.0,3.0,4,Laptop & Accessory,1.0,12.0,1.0,164
50245,4.0,2.0,4,Mobile,2.0,16.0,1.0,127
50246,0.0,,2,Mobile,1.0,15.0,0.0,127
50247,,2.0,3,Mobile,1.0,16.0,1.0,122
50248,8.0,3.0,4,Laptop & Accessory,1.0,19.0,1.0,165
50249,0.0,2.0,3,Mobile Phone,1.0,11.0,0.0,138
50250,1.0,3.0,3,Laptop & Accessory,1.0,16.0,1.0,153
50251,22.0,2.0,4,Fashion,1.0,24.0,1.0,145
50252,24.0,2.0,3,Laptop & Accessory,1.0,11.0,0.0,149
50253,9.0,3.0,3,Mobile,2.0,13.0,1.0,125
50254,0.0,3.0,2,Laptop & Accessory,1.0,13.0,1.0,153
50255,28.0,3.0,3,Grocery,1.0,13.0,,267
50256,0.0,3.0,3,Laptop & Accessory,1.0,12.0,0.0,143
50257,3.0,3.0,3,Mobile,1.0,18.0,1.0,125
50258,0.0,,3,Mobile,1.0,22.0,0.0,131
50259,,2.0,3,Mobile,1.0,13.0,1.0,122
50260,9.0,3.0,4,Fashion,9.0,13.0,9.0,176
50261,,2.0,3,Mobile,1.0,23.0,1.0,123
50262,10.0,,3,Mobile,12.0,12.0,3.0,130
50263,13.0,2.0,3,Laptop & Accessory,1.0,12.0,0.0,157
50264,15.0,3.0,3,Mobile,1.0,16.0,1.0,126
50265,10.0,2.0,3,Laptop & Accessory,1.0,12.0,0.0,142
50266,16.0,2.0,4,Grocery,,11.0,0.0,243
50267,13.0,3.0,4,Laptop & Accessory,1.0,22.0,1.0,134
50268,27.0,2.0,3,Others,1.0,,1.0,294
50269,7.0,3.0,3,Laptop & Accessory,1.0,15.0,1.0,165
50270,4.0,2.0,3,Laptop & Accessory,3.0,12.0,3.0,143
50271,,3.0,3,Mobile,1.0,20.0,0.0,123
50272,16.0,3.0,3,Laptop & Accessory,1.0,14.0,0.0,145
50273,0.0,2.0,4,Laptop & Accessory,1.0,11.0,0.0,145
50274,10.0,3.0,3,Laptop & Accessory,10.0,15.0,3.0,144
50275,,3.0,4,Mobile,3.0,12.0,0.0,122
50276,12.0,2.0,3,Others,1.0,14.0,0.0,292
50277,29.0,2.0,2,Grocery,,11.0,2.0,232
50278,3.0,2.0,3,Laptop & Accessory,4.0,11.0,3.0,166
50279,14.0,2.0,2,Fashion,1.0,16.0,1.0,184
50280,1.0,3.0,3,Laptop & Accessory,1.0,12.0,0.0,146
50281,0.0,3.0,3,Mobile Phone,1.0,13.0,1.0,140
50282,25.0,2.0,4,Fashion,1.0,14.0,0.0,180
50283,18.0,3.0,3,Mobile,1.0,21.0,1.0,127
50284,25.0,1.0,3,Grocery,1.0,13.0,,266
50285,15.0,3.0,3,Laptop & Accessory,1.0,11.0,1.0,146
50286,3.0,2.0,5,Laptop & Accessory,1.0,20.0,0.0,161
50287,30.0,2.0,3,Others,11.0,,0.0,296
50288,19.0,2.0,3,Laptop & Accessory,1.0,14.0,0.0,148
50289,15.0,2.0,4,Laptop & Accessory,1.0,11.0,0.0,145
50290,0.0,3.0,3,Mobile,1.0,16.0,1.0,132
50291,0.0,2.0,5,Mobile,1.0,16.0,1.0,124
50292,,2.0,3,Mobile Phone,1.0,23.0,1.0,117
50293,13.0,3.0,3,Others,1.0,14.0,,280
50294,0.0,,3,Mobile,1.0,22.0,1.0,129
50295,,2.0,3,Mobile,1.0,15.0,0.0,121
50296,2.0,3.0,4,Fashion,1.0,18.0,1.0,219
50297,0.0,3.0,4,Mobile,1.0,16.0,0.0,125
50298,0.0,2.0,4,Mobile,1.0,12.0,1.0,126
50299,3.0,3.0,3,Fashion,7.0,11.0,2.0,184
50300,30.0,2.0,4,Grocery,,12.0,0.0,241
50301,23.0,2.0,4,Grocery,15.0,15.0,,270
50302,3.0,2.0,3,Mobile,6.0,14.0,5.0,126
50303,30.0,3.0,4,Fashion,13.0,19.0,13.0,203
50304,20.0,3.0,3,Laptop & Accessory,1.0,13.0,0.0,151
50305,19.0,2.0,3,Grocery,1.0,13.0,,279
50306,8.0,2.0,5,Mobile Phone,4.0,15.0,2.0,142
50307,27.0,2.0,3,Laptop & Accessory,1.0,11.0,1.0,138
50308,7.0,,4,Mobile,5.0,12.0,5.0,128
50309,19.0,3.0,4,Fashion,1.0,19.0,1.0,191
50310,4.0,2.0,3,Fashion,1.0,25.0,1.0,206
50311,0.0,2.0,3,Fashion,,12.0,0.0,236
50312,0.0,2.0,5,Mobile,1.0,13.0,0.0,134
50313,3.0,,3,Mobile,1.0,14.0,1.0,130
50314,8.0,3.0,3,Fashion,1.0,12.0,0.0,176
50315,0.0,3.0,3,Fashion,1.0,12.0,1.0,198
50316,0.0,2.0,3,Fashion,1.0,15.0,1.0,200
50317,,3.0,3,Mobile,2.0,17.0,2.0,121
50318,9.0,2.0,3,Fashion,9.0,14.0,1.0,200
50319,0.0,2.0,4,Mobile Phone,1.0,16.0,1.0,139
50320,21.0,2.0,3,Laptop & Accessory,6.0,14.0,4.0,141
50321,28.0,2.0,3,Grocery,7.0,23.0,,268
50322,14.0,2.0,3,Laptop & Accessory,1.0,14.0,0.0,162
50323,8.0,2.0,3,Laptop & Accessory,6.0,11.0,3.0,147
50324,13.0,3.0,3,Grocery,,15.0,4.0,232
50325,12.0,2.0,3,Mobile Phone,1.0,11.0,0.0,138
50326,4.0,3.0,3,Laptop & Accessory,1.0,13.0,1.0,166
50327,15.0,2.0,3,Fashion,5.0,21.0,4.0,174
50328,18.0,3.0,3,Laptop & Accessory,3.0,19.0,3.0,148
50329,0.0,,3,Mobile,1.0,11.0,0.0,127
50330,2.0,2.0,3,Laptop & Accessory,1.0,12.0,0.0,143
50331,6.0,3.0,2,Grocery,1.0,19.0,,262
50332,0.0,2.0,4,Fashion,1.0,21.0,1.0,216
50333,,3.0,3,Mobile Phone,1.0,14.0,1.0,119
50334,13.0,2.0,5,Fashion,1.0,15.0,1.0,209
50335,14.0,3.0,4,Laptop & Accessory,1.0,17.0,0.0,168
50336,0.0,2.0,3,Laptop & Accessory,1.0,12.0,1.0,143
50337,8.0,3.0,3,Laptop & Accessory,1.0,16.0,0.0,149
50338,7.0,3.0,2,Laptop & Accessory,5.0,12.0,5.0,153
50339,0.0,3.0,5,Mobile,1.0,18.0,1.0,123
50340,10.0,2.0,3,Fashion,1.0,17.0,1.0,175
50341,19.0,2.0,3,Fashion,1.0,11.0,1.0,205
50342,14.0,3.0,3,Grocery,11.0,16.0,,266
50343,10.0,3.0,3,Fashion,7.0,13.0,6.0,188
50344,25.0,3.0,3,Laptop & Accessory,6.0,12.0,2.0,156
50345,0.0,2.0,2,Laptop & Accessory,1.0,12.0,1.0,147
50346,0.0,2.0,3,Mobile,2.0,13.0,0.0,124
50347,11.0,3.0,3,Laptop & Accessory,1.0,19.0,1.0,198
50348,10.0,3.0,3,Laptop & Accessory,4.0,12.0,3.0,164
50349,22.0,2.0,4,Others,1.0,,0.0,295
50350,0.0,,2,Mobile,1.0,11.0,0.0,127
50351,0.0,3.0,3,Laptop & Accessory,1.0,20.0,1.0,163
50352,,3.0,4,Mobile,1.0,21.0,1.0,121
50353,23.0,2.0,3,Others,10.0,11.0,,282
50354,,2.0,3,Mobile,1.0,11.0,1.0,121
50355,0.0,,3,Mobile,1.0,16.0,0.0,129
50356,,3.0,4,Mobile,1.0,18.0,1.0,120
50357,7.0,2.0,4,Mobile Phone,1.0,13.0,0.0,136
50358,0.0,2.0,3,Laptop & Accessory,1.0,17.0,0.0,142
50359,8.0,2.0,4,Laptop & Accessory,1.0,14.0,0.0,137
50360,4.0,3.0,2,Laptop & Accessory,5.0,22.0,3.0,155
50361,,3.0,4,Mobile,1.0,12.0,1.0,122
50362,10.0,3.0,3,Laptop & Accessory,1.0,11.0,0.0,196
50363,0.0,,4,Mobile,1.0,13.0,1.0,128
50364,15.0,2.0,3,Laptop & Accessory,2.0,13.0,2.0,141
50365,16.0,2.0,4,Grocery,1.0,14.0,,266
50366,11.0,2.0,3,Mobile,1.0,17.0,1.0,126
50367,16.0,3.0,3,Laptop & Accessory,4.0,13.0,2.0,157
50368,21.0,2.0,4,Grocery,,11.0,0.0,254
50369,17.0,2.0,4,Laptop & Accessory,1.0,11.0,1.0,160
50370,7.0,2.0,3,Mobile,1.0,18.0,1.0,126
50371,0.0,,3,Mobile,1.0,11.0,0.0,130
50372,0.0,2.0,3,Mobile,1.0,11.0,1.0,134
50373,17.0,2.0,3,Others,1.0,,1.0,295
50374,0.0,,3,Mobile,2.0,20.0,2.0,128
50375,6.0,2.0,3,Laptop & Accessory,1.0,12.0,1.0,171
50376,5.0,3.0,3,Laptop & Accessory,1.0,12.0,1.0,163
50377,,3.0,3,Mobile,1.0,20.0,1.0,121
50378,26.0,2.0,3,Laptop & Accessory,8.0,20.0,6.0,184
50379,7.0,,3,Mobile,8.0,12.0,6.0,127
50380,8.0,3.0,3,Laptop & Accessory,1.0,14.0,0.0,143
50381,0.0,3.0,3,Mobile,1.0,13.0,0.0,127
50382,10.0,2.0,3,Fashion,7.0,15.0,6.0,194
50383,2.0,3.0,3,Laptop & Accessory,1.0,14.0,0.0,156
50384,8.0,2.0,5,Laptop & Accessory,11.0,13.0,11.0,166
50385,6.0,1.0,3,Laptop & Accessory,4.0,23.0,4.0,177
50386,27.0,2.0,3,Fashion,7.0,15.0,3.0,207
50387,9.0,2.0,4,Laptop & Accessory,1.0,11.0,1.0,188
50388,,2.0,4,Mobile,1.0,13.0,0.0,120
50389,0.0,2.0,3,Mobile Phone,1.0,11.0,0.0,110
50390,0.0,3.0,3,Mobile,9.0,11.0,9.0,133
50391,,2.0,4,Mobile Phone,1.0,18.0,1.0,113
50392,0.0,,2,Mobile,1.0,16.0,0.0,128
50393,0.0,2.0,2,Laptop & Accessory,1.0,22.0,0.0,149
50394,11.0,2.0,4,Laptop & Accessory,1.0,20.0,1.0,140
50395,2.0,,5,Mobile,2.0,18.0,2.0,127
50396,21.0,2.0,2,Laptop & Accessory,2.0,12.0,2.0,181
50397,0.0,3.0,2,Laptop & Accessory,1.0,20.0,1.0,146
50398,10.0,3.0,2,Mobile Phone,1.0,17.0,1.0,147
50399,23.0,3.0,2,Mobile,3.0,11.0,3.0,132
50400,7.0,2.0,4,Fashion,7.0,14.0,4.0,186
50401,0.0,3.0,3,Laptop & Accessory,2.0,14.0,1.0,146
50402,12.0,3.0,4,Laptop & Accessory,11.0,11.0,2.0,146
50403,5.0,2.0,3,Laptop & Accessory,1.0,12.0,0.0,154
50404,13.0,2.0,3,Laptop & Accessory,1.0,14.0,1.0,168
50405,11.0,2.0,2,Laptop & Accessory,1.0,13.0,1.0,176
50406,0.0,3.0,3,Fashion,1.0,11.0,1.0,174
50407,5.0,2.0,3,Fashion,7.0,15.0,3.0,212
50408,20.0,2.0,3,Laptop & Accessory,1.0,12.0,0.0,150
50409,13.0,2.0,4,Fashion,1.0,21.0,0.0,205
50410,26.0,2.0,2,Grocery,,19.0,0.0,248
50411,14.0,3.0,4,Others,12.0,15.0,,291
50412,30.0,2.0,3,Laptop & Accessory,2.0,14.0,1.0,154
50413,0.0,2.0,3,Fashion,1.0,21.0,1.0,188
50414,14.0,2.0,4,Others,2.0,12.0,,292
50415,23.0,2.0,3,Mobile Phone,2.0,15.0,1.0,139
50416,,3.0,5,Mobile,3.0,13.0,1.0,122
50417,9.0,3.0,2,Fashion,1.0,14.0,0.0,217
50418,11.0,2.0,3,Fashion,1.0,14.0,0.0,179
50419,17.0,2.0,5,Mobile Phone,1.0,14.0,0.0,137
